Team,Season,Gender,Avg Score,Avg Economy,Win %,Win Count,Matches Played
Southern Brave,2021,female,116.56,6.92,77.78,7,9
Oval Invincibles,2021,female,115.11,6.63,66.67,6,9
London Spirit,2021,female,116.75,7.41,50.0,4,8
Birmingham Phoenix,2021,female,127.22,7.89,44.44,4,9
Manchester Originals,2021,female,117.57,7.72,42.86,3,7
Northern Superchargers,2021,female,121.43,7.94,42.86,3,7
Trent Rockets,2021,female,125.43,7.98,42.86,3,7
Welsh Fire,2021,female,115.88,8.43,25.0,2,8
Southern Brave,2021,male,138.67,8.4,77.78,7,9
Birmingham Phoenix,2021,male,148.67,8.82,66.67,6,9
Oval Invincibles,2021,male,139.29,8.92,57.14,4,7
Trent Rockets,2021,male,129.56,8.98,55.56,5,9
Northern Superchargers,2021,male,150.57,8.6,42.86,3,7
Welsh Fire,2021,male,143.5,9.61,37.5,3,8
Manchester Originals,2021,male,130.0,8.84,33.33,2,6
London Spirit,2021,male,134.86,8.87,14.29,1,7
Oval Invincibles,2022,female,122.71,7.1,85.71,6,7
Southern Brave,2022,female,128.0,7.57,75.0,6,8
Birmingham Phoenix,2022,female,120.5,7.36,50.0,3,6
Northern Superchargers,2022,female,139.33,8.57,50.0,3,6
Trent Rockets,2022,female,115.86,7.35,42.86,3,7
London Spirit,2022,female,114.33,7.84,33.33,2,6
Manchester Originals,2022,female,128.67,8.3,33.33,2,6
Welsh Fire,2022,female,122.83,8.16,16.67,1,6
Trent Rockets,2022,male,153.22,9.05,77.78,7,9
Birmingham Phoenix,2022,male,139.5,8.89,62.5,5,8
Manchester Originals,2022,male,157.2,8.99,60.0,6,10
London Spirit,2022,male,146.0,8.75,55.56,5,9
Northern Superchargers,2022,male,152.38,9.35,50.0,4,8
Oval Invincibles,2022,male,150.62,8.99,50.0,4,8
Southern Brave,2022,male,127.5,8.95,37.5,3,8
Welsh Fire,2022,male,122.38,9.09,0.0,0,8
Southern Brave,2023,female,133.0,7.67,88.89,8,9
Welsh Fire,2023,female,142.43,8.09,71.43,5,7
Northern Superchargers,2023,female,123.78,7.52,66.67,6,9
Oval Invincibles,2023,female,123.0,7.77,42.86,3,7
Trent Rockets,2023,female,131.14,8.48,42.86,3,7
London Spirit,2023,female,131.83,8.05,33.33,2,6
Manchester Originals,2023,female,109.17,7.98,33.33,2,6
Birmingham Phoenix,2023,female,117.43,8.17,0.0,0,7
Oval Invincibles,2023,male,157.75,8.88,87.5,7,8
Welsh Fire,2023,male,122.71,8.95,57.14,4,7
Manchester Originals,2023,male,149.11,9.79,55.56,5,9
Southern Brave,2023,male,135.88,8.72,50.0,4,8
Trent Rockets,2023,male,156.86,9.21,42.86,3,7
Birmingham Phoenix,2023,male,133.83,8.28,33.33,2,6
London Spirit,2023,male,148.33,9.66,33.33,2,6
Northern Superchargers,2023,male,149.71,10.01,28.57,2,7
